Episode	Accumulated Reward	Average Reward	Length	Steps
0	-5062.646915554269	-40.50117532443415	125	125
1	-4545.443228168109	-36.36354582534487	125	250
2	-3992.451522701582	-31.939612181612656	125	375
3	-2660.945115772302	-21.287560926178415	125	500
4	-1089.641113544413	-8.71712890835529	125	625
5	-1794.3862709577143	-14.35509016766171	125	750
6	-1599.3332228782826	-12.79466578302626	125	875
7	-1999.3347944176303	-15.994678355341035	125	1000
8	-1240.1770407677993	-9.921416326142396	125	1125
9	-1128.717151496786	-9.029737211974288	125	1250
10	-1148.8528175884883	-9.19082254070789	125	1375
11	-1199.5840778420286	-9.596672622736232	125	1500
12	-1147.0703774473068	-9.176563019578447	125	1625
13	-1245.4139074019245	-9.963311259215399	125	1750
14	-1257.9333517907346	-10.063466814325885	125	1875
15	-1309.9607605947551	-10.479686084758042	125	2000
